locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Bandra Kurla Complex,"Rs. 23,928 - 27,328/sq. ft.",-3.44%  ,See Trends,-,"Rs. 71,537 - 82,685","Rs. 95,051 - 1,11,527"
Band Stand,-,-,Not Available,"Rs. 44,200 - 49,300","Rs. 66,938 - 77,648","Rs. 1,07,528 - 1,36,971"
Chuim,-,-,Not Available,-,"Rs. 79,475 - 92,480",-
Gandhi Nagar,"Rs. 30,345 - 31,918/sq. ft.",-,Not Available,-,-,"Rs. 1,47,084 - 1,55,652"
Gulmohar Colony,"Rs. 35,062 - 39,440/sq. ft.",-,Not Available,-,-,"Rs. 99,008 - 1,21,856"
Hill Road,-,-,Not Available,"Rs. 38,556 - 49,028","Rs. 66,619 - 73,725",-
Juhu,"Rs. 35,360 - 41,608/sq. ft.",1.93%  ,See Trends,"Rs. 38,250 - 47,430","Rs. 66,509 - 85,394","Rs. 1,21,558 - 1,49,922"
Juhu Scheme,"Rs. 36,168 - 39,440/sq. ft.",4.04%  ,See Trends,"Rs. 35,190 - 42,228","Rs. 67,320 - 76,500","Rs. 1,22,645 - 1,55,861"
Jvpd Scheme,"Rs. 35,615 - 41,480/sq. ft.",0.22%  ,See Trends,-,-,"Rs. 1,61,519 - 1,99,426"
Kala Nagar,-,-,Not Available,-,"Rs. 42,589 - 54,979","Rs. 88,145 - 1,19,255"
Kalina,"Rs. 17,468 - 20,868/sq. ft.",-8.72%  ,See Trends,"Rs. 27,115 - 31,552","Rs. 40,460 - 48,408","Rs. 59,528 - 67,600"
Khar,"Rs. 33,448 - 38,165/sq. ft.",-2.86%  ,See Trends,"Rs. 42,330 - 50,490","Rs. 69,700 - 85,000","Rs. 1,05,332 - 1,32,982"
Khar West,"Rs. 33,490 - 37,995/sq. ft.",-2.97%  ,See Trends,"Rs. 40,800 - 48,450","Rs. 70,550 - 85,000","Rs. 1,05,332 - 1,32,982"
Kherwadi,-,-,Not Available,-,"Rs. 49,980 - 59,976",-
Mahim (West),"Rs. 25,118 - 30,982/sq. ft.",5.37%  ,See Trends,"Rs. 34,595 - 38,802","Rs. 54,145 - 64,141",-
Mount Mary,-,-,Not Available,"Rs. 56,100 - 72,420",-,-
Pali Hill,"Rs. 32,342 - 40,715/sq. ft.",-2.93%  ,See Trends,"Rs. 51,000 - 60,180","Rs. 69,700 - 91,800","Rs. 1,21,125 - 1,51,725"
Reclamation,-,-,Not Available,"Rs. 46,410 - 52,530",-,-
Santacruz (East),"Rs. 18,488 - 20,698/sq. ft.",-3.37%  ,See Trends,"Rs. 26,180 - 29,452","Rs. 40,460 - 46,962","Rs. 62,688 - 71,188"
Santacruz (West),"Rs. 28,942 - 35,700/sq. ft.",4.19%  ,See Trends,"Rs. 34,680 - 42,840","Rs. 59,479 - 71,374","Rs. 99,450 - 1,21,125"
Sunder Nagar,-,-,Not Available,"Rs. 31,788 - 38,238",-,-
Union Park,-,-,Not Available,-,"Rs. 63,750 - 77,350",-
Vakola,"Rs. 18,615 - 20,102/sq. ft.",3.41%  ,See Trends,"Rs. 25,245 - 30,855","Rs. 40,698 - 48,552","Rs. 63,139 - 72,770"
Vidya Nagari,-,-,Not Available,"Rs. 29,723 - 34,037","Rs. 40,266 - 51,107",-
Vile Parle (East),"Rs. 25,160 - 28,985/sq. ft.",-0.47%  ,See Trends,"Rs. 32,258 - 36,168","Rs. 47,685 - 54,910","Rs. 66,576 - 76,819"
Vile Parle (West),"Rs. 28,560 - 32,895/sq. ft.",-0.14%  ,See Trends,"Rs. 30,388 - 35,530","Rs. 54,544 - 63,240","Rs. 83,776 - 94,248"
Waterfield Road,-,-,Not Available,-,"Rs. 65,056 - 81,320",-
Central Mumbai suburbs,,,,,,
Amar Nagar,-,-,Not Available,"Rs. 17,503 - 19,934",-,-
Ambedkar Nagar,"Rs. 14,620 - 16,660/sq. ft.",1.09%  ,See Trends,"Rs. 19,385 - 29,078","Rs. 35,593 - 40,678","Rs. 40,162 - 49,931"
Amrut Nagar,"Rs. 14,365 - 15,470/sq. ft.",-2.49%  ,See Trends,"Rs. 19,627 - 22,822","Rs. 39,589 - 46,627","Rs. 46,492 - 50,816"
Antop Hill,"Rs. 19,210 - 21,462/sq. ft.",2.16%  ,See Trends,-,-,-
